Date,Tweet
2023-05-06 13:45:20+00:00,"Do u not have nothing better to do ? 

Ur watching TV all day while u eat pizza and chase girls 

Ur 40 and still playing video games 

Have some shame 

Recession is coming, prepare now.. mentally, fiscally, physically and emotionally 🖤 

#inspire"
2023-05-06 13:45:17+00:00,"@RonFilipkowski If Biden went, then trump would be complaining he left while the US is still in the trump recession"
2023-05-06 13:45:06+00:00,"Do u not have anything better to do ? 

Ur watching TV all day while u eat pizza and chase girls 

Ur 40 and still playing video games 

Have some shame 

Recession is coming, prepare now.. mentally, fiscally, physically and emotionally 🖤 

#inspire"
2023-05-06 13:44:55+00:00,"@Rudio1John @kdollsweety @POTUS Changed the meaning of recession, changed meaning of unemployment......whats next, changing what ""approval"" means so his ""approval"" rates move to 75%? Lmao what a joke of an administration we have"
2023-05-06 13:44:45+00:00,"If so, cooling demand can bring inflation down without a large rise in unemployment. I think this is probably true — but worry about whether the Fed's motor control is good enough to do this without precipitating an unnecessary recession 2/"
2023-05-06 13:44:39+00:00,"@flash4u2 @DHemoricko @BidensWins Wow, a 1.9T 'Rescue Plan' that sent us into a recession/depression."
2023-05-06 13:44:05+00:00,"A recession is coming in 2023.

New job openings are are the lowest they’ve been since April 2021.

And layoffs are the highest they’ve been since December 2020.

Here are 7 strategies you can use to prepare for the recession:"
2023-05-06 13:43:50+00:00,"@WatcherGuru 465 banks failed during the Great Recession.

This crisis will far exceed it."
2023-05-06 13:43:35+00:00,"All econ factors have been standing firm since Biden became Pres
 We are still not in a recession  Repubs believed we were heading 4 the last 2 yrs.  His policies R sound &amp; R working. Hate him if you must, but give him credit where credit is due."
2023-05-06 13:43:25+00:00,@POTUS Recession is here and depression is coming.  Look at this clown set the stage to deflect.
2023-05-06 13:42:54+00:00,"@MPelletierCIO MZ says most of the country doesn't own assets in any significant way so won't feel like a recession what does he define as asset. Says housing fell in 2022 &amp; believes more to come, if true don't know why most folks won't feel it, 63% of ppl are homeowners &amp; consider it an asset"
2023-05-06 13:42:46+00:00,"@JustinWolfers Unfortunately, businesses that lay off workers because they think there may be a recession could actually contribute to one."
2023-05-06 13:42:36+00:00,"House Republicans are threatening to undo our economic progress by letting us default on our debt.

It could cost 8 million jobs, threaten retirement savings, and put us in recession.

And the middle class would be hit the hardest."
2023-05-06 13:42:32+00:00,"@MariVtuber I'm going to say that it's going to be harsher than ever for the next 2 to 3 years for any content creator.

We're barely scratching the start of the recession and things have been rouuuuuuuuugh for the entertainment side of things already."
2023-05-06 13:42:31+00:00,@dougboneparth I’ve spent 50 years studying economics and we’re going into a recession
2023-05-06 13:42:14+00:00,@POTUS How it happen during recession?
2023-05-06 13:41:45+00:00,@jonnajarian @YahooFinance One important caveat to this is that wages are not keeping up with the real inflation rate. More people are working after the unnecessary Covid shut down but real prosperity is down. The deflator is underestimated and GDP overestimated. It is a recession indeed.
2023-05-06 13:40:15+00:00,"@paulkrugman @delong Problem seems to be that the Fed is more afraid of inflation than they are of recession.
It is like docking a boat.
Ideally you cut power so the boat will coast into the dock without slamming into it.
Fed seems afraid of not quite reaching the dock."
2023-05-06 13:40:01+00:00,"Reminder that no matter how the economy is performing there will always be a loud group of people saying:

- Big recession around the corner 
- Hyperinflation imminent
- The dollar is doomed
- The Fed broke everything
- Stocks are overvalued

Been like that for 100+ years."
2023-05-06 13:39:46+00:00,I knew we were in a recession when I saw a tik tok of someone making a bologna brisket
2023-05-06 13:39:08+00:00,"@CarlosCruz2016 @TruthTalker1101 And yet...on his very first day in office, Biden was able to wipe it all away with one stroke of the pen on one executive order to begin the fastest decline into the worse recession in 40 years! 🤨"
2023-05-06 13:39:00+00:00,@Nana_Remi03 You will explain how you get money for bags of rice in this recession period 🤣🤣🤣
2023-05-06 13:38:45+00:00,"@JamesBo545 @lozzapalliza @gillycarpediem @Bushra1Shaikh Yet your ppl are flocking to the Middle East to earn a living. The amount of ex pats in the gulf nations is incredible. They don’t want to live in the shithole that is Britain anymore. Go and check which gulf nations are expecting a recession, none of them, whereas Britain 😂🤭"
2023-05-06 13:38:06+00:00,"We are experiencing a social media recession.

There’s an enormous supply of content.

And just like how the economy behaves during a recession, people have become very selective about how they (spend their money) or in this case, spend their time."
2023-05-06 13:37:48+00:00,"Average US poll:

""Who do you blame for the 2008 recession?""

50% - Joe Biden
24% - wokeness
9% - George W Bush
17% - I don't know what a recession is"
2023-05-06 13:37:25+00:00,@DemFromCT If there's no recession or default Biden beats Trump by at least 10
2023-05-06 13:37:13+00:00,"Imagine if George W. Bush lost the 2004 election (by losing Ohio by a tiny margin). And then John Kerry presided over the Great Recession? If Bush ran in 2008, he would be the prohibitive favorite for GOP nomination.

That's what we're seeing now w/ Trump, except Trump's a clown."
2023-05-06 13:36:56+00:00,@spomboy The irony is that any “manipulations” like this just perpetuate the “ higher for longer” scenario….when in reality the “manipulators” are presumably trying to keep the economy out of recession and would like/need rates lower 🤷‍♀️🤷🏼
2023-05-06 13:36:55+00:00,@lozzapalliza @JamesBo545 @gillycarpediem @Bushra1Shaikh Why are we comparing Pakistan to Japan and SK? Let’s talk about your own country that’s been sold to the dogs and is on the cusp on a deep recession. Your ppl can’t even afford food. There are more food banks than McDonald’s in your country. Wow 🤩 “developed nation”
2023-05-06 13:35:50+00:00,@jayphoward @JustinWolfers Yeah because the economy is in a recession! 🙃
2023-05-06 13:35:48+00:00,"@Liberty_336 Good luck with that narrative. NSA OPENLY spy’s without warrants , look at now! Also way worse 2A infringements happening now with democrats . Americans are more concerned about open border , energy crises, recession, WW3, record level violent crime , china not attacking Trump."
2023-05-06 13:35:34+00:00,@boydvenable @McFaul Growin after a recession is not rare...
2023-05-06 13:34:52+00:00,"@nytimes Recession probability forecast, 2023:
🇬🇧 UK: 75%
🇺🇸 US: 65%
🇩🇪 Germany: 60%
🇨🇦 Canada: 60%
🇮🇹 Italy: 60%
🇫🇷 France: 50%
🇿🇦 South Africa: 45%
🇷🇺 Russia: 37.5%
🇧🇷 Brazil: 15%
🇨🇳 China: 12.5%
🇸🇦 Saudi Arabia: 5%
🇮🇩 Indonesia: 2%
🇮🇳 India: 0%

Via @stats_feed"
2023-05-06 13:34:19+00:00,"Various ai stocks, with names you’ve never heard of, are hotter than hot, even with a recession looming and at the foot of a tech beatdown in the markets."
2023-05-06 13:33:46+00:00,According to US Treasury Dept if R don’t allow the debt ceiling to be raised by June 1 it will cause a global financial system crisis that will lead to a recession maybe even depression! Causing the Government to miss payments including Social Security payments for the first
2023-05-06 13:32:45+00:00,@Architect9991 @moving_charlie Recession -&gt; Repossession
2023-05-06 13:32:44+00:00,"Recession probability forecast, 2023:
🇬🇧 UK: 75%
🇺🇸 US: 65%
🇩🇪 Germany: 60%
🇨🇦 Canada: 60%
🇮🇹 Italy: 60%
🇫🇷 France: 50%
🇿🇦 South Africa: 45%
🇷🇺 Russia: 37.5%
🇧🇷 Brazil: 15%
🇨🇳 China: 12.5%
🇸🇦 Saudi Arabia: 5%
🇮🇩 Indonesia: 2%
🇮🇳 India: 0%

Via @stats_feed"
2023-05-06 13:31:56+00:00,For a settler institution to offload on faculty (incl. precarious ones + those who suffer from the current recession - cause not all faculty have family $ to keep them afloat) the cost of a building that supposedly expresses their commitment to reconciliation is wrong.
