Date,Tweet
2023-05-13 14:47:27+00:00,"Default would erase millions of jobs, trigger a recession, hit retirement accounts, and increase borrowing costs. 
 
It's not an option."
2023-05-13 14:47:19+00:00,"@burby_geek @jmhorp Plus you were buying right after a recession, slow down buddy."
2023-05-13 14:47:04+00:00,@POTUS To whoever is actually running this account. We’re already in a recession. If not a depression. Shut up.
2023-05-13 14:46:50+00:00,"@KimDotcom Leave it to a right winger to consider recession, surrendering to Putin, leaving the world susceptible to authoritarianism and turning America into a third world country a “good thing.”"
2023-05-13 14:46:47+00:00,@JoeAnon1280833 @niteHaunter @Nowwhat99224327 @POTUS He inherited the great recession caused by deregulation approved under WJ Clinton in case you forgot that tidbit
2023-05-13 14:46:36+00:00,"@POTUS A recession is coming regardless of political stunts from either side. 

Just ask any economist or finance person. 

Y'all simply printed too much money."
2023-05-13 14:46:27+00:00,"@SpeakerMcCarthy Of course. Because you misjudged your leverage and, in the process, gave him what he desperately needed: someone else to blame the upcoming recession on."
2023-05-13 14:46:21+00:00,"@FinPlanKaluAja1 With ur sensational analysis. Without borrowing, we wont exit the 2016 recession  without, no project'll be completed. What Buhari did, no other president had the balls to do it. Old cities connected, airports, sea ports,networkof roads, bridges, power projects,military assets"
2023-05-13 14:46:19+00:00,U.S. consumer sentiment slumped to a six-month low in May on worries that political haggling over raising the federal government's borrowing cap could trigger a recession. -Newsmax
2023-05-13 14:46:17+00:00,@BillFOXLA Just redefine surge ... and recession ... and vaccine ... and is.
2023-05-13 14:45:57+00:00,"A year ago Germany argued against embargo on Russian gas to avoid deep recession. So, Russia continued to get paid and used this cash to kill in Ukraine. 

But the recession was never a real risk. Politicians were afraid and ignored the facts. See the study by @ben_moll 1/"
2023-05-13 14:45:36+00:00,"@johnredwood So, remind me - who's going to fill all the vacancies we have? While our own population is ageing, we need immigration to keep the economy from decades of recession."
2023-05-13 14:45:19+00:00,"Now that we're 1 year removed from peak ""there were 2 consecutive quarters of negative GDP growth, therefore we're in a recession,"" can we agree that no recession has actually started yet and the ""2 quarters of negative GDP growth"" heuristic as an absolute rule was always wrong?"
2023-05-13 14:45:17+00:00,"@crypto_birb I believe this suggests markets may be under pressure if the economy is headed into recession and likely bottoms prior to the economy recovering. 

If so, question is has a soft landing been engineered or is recession perhaps even something breaking ahead. 

What do you think?"
2023-05-13 14:45:14+00:00,@tegelad @SpeakerMcCarthy There is no negotiation on the debt ceiling! It is NOT a budget issue! The RepubliKLAN Party is trying to force through BUDGET cuts under the guise of the debt ceiling! These DEBTS are ALREADY incurred! RepubliKLANs are playing games that will cause a recession! SIMPLE!!
2023-05-13 14:45:09+00:00,@POTUS You already put us in a recession
2023-05-13 14:44:44+00:00,@POTUS We’re already in a recession and you’ve already tanked our retirement accounts!
2023-05-13 14:44:24+00:00,@gwenivereimo americans learning about him has lead to a huge recession in the 'telling drew pavlou to kill himself online' market. things are dire
2023-05-13 14:43:47+00:00,"@RepBice @PressSec @SpeakerMcCarthy Default on the Debt and cause a recession.
Is that why Republicans are hoping for, Stephanie?

Another crisis you make so you have something to run on next election?"
2023-05-13 14:43:41+00:00,"If we have a ""gov't shutdown"" &amp; the press suddenly starts talking abt how the economy is hurting, perhaps saying ""recession"" &amp; giving accurate inflation numbers, I want to remind everyone that a shutdown didn't cause it. Their speech will be as much of a lie as their silence now"
2023-05-13 14:43:22+00:00,"When we go into a recession later this year, where do you think all these illegal immigrants are going to work? 🤓"
2023-05-13 14:43:19+00:00,@CryptoCon_ and the recession?😶
2023-05-13 14:43:02+00:00,"@msgisme @amber_zellmer @Pilot_Named_Doc @joncoopertweets Uh, no. You don’t know me. You don’t know what I am capable of and you definitely are not on my level. All Republican presidential terms end in recession, then Democrats have to fix it. You voted for your circus. Not me. You have no idea what self reliance means."
2023-05-13 14:43:01+00:00,Most Americans can't cover a $400 emergency but my realtor neighbor is telling me people are over bidding &amp; throwing down full cash to buy a $300k house in the middle of a recession and high inflation. I told her that and she said they are getting the cash from their parents. 🤔
2023-05-13 14:42:57+00:00,"MAGA Republicans in Congress have offered us two options:
 
Either pass their devastating cuts, including the risk of millions losing Medicaid and sweeping education cuts.
 
Or default on our debt – erasing millions of jobs and triggering a recession."
2023-05-13 14:42:38+00:00,did this recession really have to happen when i’m young and hot
2023-05-13 14:42:35+00:00,@DonAmbrosius @ilzizzo @Mr_Derivatives He’s right.. and it’s going to make the 08 recession look like a walk in the park..
