Date,Tweet
2023-04-26 13:40:11+00:00,So #FJB the lying ASS. Claims his economic plan is working🤔The MFER Destroyed this country’s economy and the world with his WAR on OIL! Decimated the American Taxpayers. Destroyed the Border catering to illegal aliens! Recession is HERE! #BidenCrimeFamilyExposed 👍👍🇺🇸
2023-04-26 13:40:07+00:00,@Robo069 @LouisHo40816604 @curt_gallia @CalltoActivism Completely different circumstances. You are the one trying to change the goal post to fit your narrative. It’s very similar to changing the definition of a recession.
2023-04-26 13:39:57+00:00,@BillKristol I’m beginning to think that the Republicans actually want to force a deeper recession. They probably think that will help them in 2024.
2023-04-26 13:39:49+00:00,"@WallStreetSilv Respectfully, your tweets about recession are getting boring. It will happen when it has to. Or be mentally prepared that it's already here."
2023-04-26 13:39:42+00:00,"@MartinDaubney But had you lost we wouldn't be in recession, people wouldn't have lost their livelihoods, homes, freedom of movement &amp; all the other stuff brexit has taken from us.  It's not some jolly jape for silly boys, it's serious stuff, which you fail to understand the impact of."
2023-04-26 13:38:36+00:00,"@damn_kwess @Dreadful4Tymes We were sold on going to college would allow you to get an good paying job with stability. Usually that meant the good paying job was a corporate office job. Capitalism has effected college cost, healthcare cost and housing cost. Caused the recession and housing crisis."
2023-04-26 13:38:33+00:00,@TheFactFindr No thanks i don't want double digit inflation my economy would have with his money printing idea and also caused a recession.
2023-04-26 13:38:12+00:00,@todd_gleason @WholeMarsBlog If you don't trust the numbers then in what way would you possibly judge that we're in a recession? 😂
2023-04-26 13:38:03+00:00,"@AdamSinger @AlmostMedia 4) “Recession!” “Dollar destruction!” “Economic turmoil!”, local and global economic instability and fear mongering doesn’t scream “have a kid!”
5) School shootings every week has an effect…
6) Nuclear or Civil War trending weekly really seems like a great time to start a family"
2023-04-26 13:38:01+00:00,@RepRalphNorman It's disgusting that House GOP have not even read what's in the bill and have no idea what they are cutting for Americans. Read the awful bill and then vote against it. You are planning a recession so you can give yourself and Crow a tax cut. Be better &amp; do better. Vote them out.
2023-04-26 13:37:57+00:00,"House Republicans’ economic proposal would destroy nearly 800,000 jobs. 

House Democrats will fight every step of the way to ensure MAGA Republicans don’t lead America into a recession with their dangerous plan."
2023-04-26 13:37:45+00:00,#ONDO water leaks still happen in a recession!! MC approx £6m!!!! easy hold for me
2023-04-26 13:37:32+00:00,"The U.S. seems to be fed up with rampant price inflation, high interest rates and ongoing recession fears."
2023-04-26 13:37:16+00:00,"@carlquintanilla Thx CQ. Wish we had some way to see various sectors of the ""rolling recession"". Mfg been in one and may be coming out...tech same etc"
2023-04-26 13:37:04+00:00,"Observing the consequences of eliminating the subsidy on oil products would be an intriguing prospect, but Nigerians should prepare themselves as this could be the initial phase of an economic recession. My hope is that our leaders prioritize the interests of the public as a"
2023-04-26 13:36:27+00:00,"Fed economists predict a ""mild recession"" later this year, ""a general decline in loan volume and loan demand for consumer and business loan types,"" and ""banks tightening lending standards amid increased uncertainty and concerns about liquidity"
2023-04-26 13:36:22+00:00,recession? sorry i don’t have hbo
2023-04-26 13:35:53+00:00,"@milesdeutscher The market will recover and BTC will go to 35k - 40k this rally maybe, this is rally before recession

What we can do now?
Some alts will pump too follow the BTC, and the money from BTC will flow into Alts again, and then repeat"
2023-04-26 13:35:28+00:00,@jimcramer Jimmy may help Powell get that recession Powell wants just by touting how great the Usa economy is as it is in free fall on mainstreet lol…the 99% feeling the interest hike Pain music to Trumps ears
2023-04-26 13:35:05+00:00,"The bank failures are far from over. First republic bank down 50% this morning. Meanwhile countries are fleeing from the dollar as the world currency. I don't put my faith in this world anyhow, but I believe we're heading into a substantial recession."
2023-04-26 13:35:02+00:00,"The US is in the midst of a ""freight recession,"" meaning trucks are carrying fewer goods across the country, per BI."
2023-04-26 13:34:28+00:00,"@BillMat12 @mikegalsworthy @CarolineLucas What are you talking about?

The uncertainty recession was supposed to happen un the uncertainty immediately after voting for Brexut (""likely"" -6.3%GDP and 820,000 job reduction)

In fact the economy grew to record levels with record employment.

We are bjt unbrecsssiin"
2023-04-26 13:34:25+00:00,"8) But most people are writing off these possibilities.

Simply because ""they haven't happened yet"".

Which I understand to some degree. ""Recession"" has been discussed for a year. And it hasn't gotten real yet.

But that doesn't mean it won't."
2023-04-26 13:33:47+00:00,"@Bigrig_North @jilevin No it was 70% in 1981, which they lowered to 50% then recinded that law a year later when the economy went into a recession.  It was 50% in 1983"
2023-04-26 13:33:39+00:00,"there was probably going to be a surge of energy on the left between those hit hardest by the great recession reaching more regular voting age and discontent with the clintonism, even if she had won. it was absolutely vital to direct that energy in positive, constructive ways"
2023-04-26 13:33:22+00:00,"@OneRentalatTime ah, they also have a shallow recession projected for '23. that makes more sense now."
2023-04-26 13:33:10+00:00,"@MacroFrank @EPBResearch Dead cat bounce.

If we avoid deep recession, then maybe sideways for a while.

Lag effects from rate hikes will be working their way through the economy for quarters (years?). Many companies won't feel pain until they have to roll debt.

Worst yet to come."
2023-04-26 13:33:05+00:00,"@_ImJason As it turns out, the dynamic island wasn't worth a cash much maybe, iPhone 14 and 14 Plus where boring, iPhone 14 Pro was seriously expensive and people didn't felt it worth this much of money because of Sim card removal. Recession and turns out M 1 lineup was just better option."
